Mes,Pais,Pais_join,fob_total,kg_total,CIIU,fob_ciiu
11,Finlandia,FINLAND,13854621.45,9365727.66,Trilla de café,11638780.17
11,Francia,FRANCE,26504790.45,28478048.34,Trilla de café,7741332.42
11,Gabón,GABON,224571.21000000002,120464.89,"Elaboración de cacao, chocolate y productos de confitería",150621.84
11,Georgia,GEORGIA,26181.04,4755,Cultivo de flor de corte,26181.04
11,Ghana,GHANA,316088.91,100276.3,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",170520
11,Grecia,GREECE,2664137.05,1203171.3,Trilla de café,1755761.03
11,Guatemala,GUATEMALA,40490202.48,139196898.22,Extracción de hulla (carbón de piedra),9631565.530000001
11,Guinea,GUINEA,119649.57,69550.85,"Elaboración de cacao, chocolate y productos de confitería",119649.57
11,Guinea Bissau,GUINEA-BISSAU,39890.3,21933.38,"Elaboración de cacao, chocolate y productos de confitería",39718
11,Guyana,GUYANA,8068746.67,3284474.49,Fabricación de aparatos de distribución y control de la energía eléctrica,4159422.2
11,Haití,HAITI,3088131.1999999997,5288651.72,Elaboración de panela,2325135.32
11,Honduras,HONDURAS,11286205.459999999,2905018.02,Fabricación de aparatos de uso doméstico,2057714.47
11,Hungría,HUNGARY,263130.22,41065.98,Cultivo de flor de corte,212054.33
11,India,INDIA,79605073.54,186946882.22,Industrias básicas de metales preciosos,48436214.67
11,Indonesia,INDONESIA,818007.41,158380.99,Industrias básicas de hierro y de acero,447185.2
11,Irak,IRAQ,9585562.88,3904048.38,Cría de ganado bovino y bufalino,9363225.3
11,Irlanda,IRELAND,2619420.7399999998,2450249.5,Cultivo de plátano y banano,1278698.7
11,Israel,ISRAEL,5403051.87,664145.73,Trilla de café,3982675.55
11,Italia,ITALY,79927693.21,44878820.36,Industrias básicas de metales preciosos,47779851.68
11,Jamaica,JAMAICA,2971356.33,1907438.96,Elaboración de otros productos alimenticios n.c.p.,327248.51
11,Japón,JAPAN,48049960.59,5878951.13,Trilla de café,31008795.6
11,Jordania,JORDANIA,1398653.9200000002,153848,Trilla de café,1398653.9200000002
11,Kazajstán,KAZAKHSTAN,1395293.64,242122.75000000003,Cultivo de flor de corte,1380715.14
11,Kenia,KENYA,73789.19,3570.48,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",34570
11,Kirguizistán,KYRGYZSTAN,35922.25,7135.25,Cultivo de flor de corte,33595.75
11,Kuwait,KUWAIT,601756.38,71704.25,"Elaboración de cacao, chocolate y productos de confitería",242274
11,Letonia,LATVIA,1033637.8,127823,Trilla de café,988130.05
11,Liberia,LIBERIA,76634.6,46496.53,"Elaboración de cacao, chocolate y productos de confitería",76634.6
11,Lituania,LITHUANIA,229288.12,64900.9,Trilla de café,180502.12
11,Líbano,LEBANON,892880.11,107012.25,Trilla de café,874400.21
11,Macedonia,MACEDONIA,58253.94,250,Cultivo de especias y de plantas aromáticas y medicinales,58253.94
11,Madagascar,MADAGASCAR,39153,23211.8,"Elaboración de cacao, chocolate y productos de confitería",39153
11,Malaysia,MALAYSIA,14352920.57,21649800.84,Trilla de café,5874958.77
11,Malta,MALTA,65401.87,75,Cultivo de especias y de plantas aromáticas y medicinales,65401.87
11,Malí,MALI,137085.6,69556.03,"Elaboración de cacao, chocolate y productos de confitería",137085.6
11,Marruecos,MOROCCO,410469.13,320193,Fabricación de plásticos en formas primarias,234780
11,Mauricio,MAURITIUS,63787,7228.97,Cultivo de flor de corte,43681
11,Moldavia,MOLDOVA,26101,3081,Cultivo de flor de corte,26101
11,Mongolia,MONGOLIA,4922.08,34.38,"Confección de prendas de vestir, excepto prendas de piel",4650.1
11,Mozambique,MOZAMBIQUE,161883,101480,"Elaboración de cacao, chocolate y productos de confitería",135000
11,México,MEXICO,146614140.95,296770154.72,Extracción de hulla (carbón de piedra),23835909.31
