Mes,Pais,Pais_join,Nivel tecnologico,fob_total,kg_total
7,España,ESPANA,Manufacturas de alta tecnología,83315.28,971.73
7,España,ESPANA,Manufacturas de baja tecnología,1265378.89,190228.83000000002
7,España,ESPANA,Manufacturas de tecnología media,2626102.62,1091054.96
7,España,ESPANA,Otras transacciones,135128.78,9862.95
7,Estados Unidos,ESTADOS UNIDOS,Bienes primarios,582838031.1100001,584438683.86
7,Estados Unidos,ESTADOS UNIDOS,Manufacturas basadas en recursos naturales,96654916.32,63060249.79
7,Estados Unidos,ESTADOS UNIDOS,Manufacturas de alta tecnología,55780864.22,2791162.9899999998
7,Estados Unidos,ESTADOS UNIDOS,Manufacturas de baja tecnología,114915003.1799999,16323807.86
7,Estados Unidos,ESTADOS UNIDOS,Manufacturas de tecnología media,50893352.12,26721364.77
7,Estados Unidos,ESTADOS UNIDOS,Otras transacciones,118679288.09,232049.82
7,Estonia,ESTONIA,Bienes primarios,2148002.0500000003,248690.35
