Mes,Pais,Pais_join,Nivel tecnologico,fob_total,kg_total
8,Barbados,BARBADOS,Manufacturas de baja tecnología,437267.7,57019.71
8,Barbados,BARBADOS,Manufacturas de tecnología media,26904.96,4482
8,Barbados,BARBADOS,Otras transacciones,7.5,114
8,Belarus,BELARUS,Bienes primarios,114623.96,24476.78
8,Belice,BELICE,Bienes primarios,24697.07,2025.2800000000002
8,Belice,BELICE,Manufacturas basadas en recursos naturales,21862.54,3794
8,Belice,BELICE,Manufacturas de alta tecnología,170290.22,4957.59
8,Belice,BELICE,Manufacturas de baja tecnología,24642.81,14205.25
8,Belice,BELICE,Manufacturas de tecnología media,94462.81,22996.87
8,Belice,BELICE,Otras transacciones,115.24,10.95
8,Bolivia,BOLIVIA,Bienes primarios,61318,2142.71
8,Bolivia,BOLIVIA,Manufacturas basadas en recursos naturales,1265756.06,774686.66
8,Bolivia,BOLIVIA,Manufacturas de alta tecnología,587215.46,17068.329999999998
8,Bolivia,BOLIVIA,Manufacturas de baja tecnología,906918.33,87974.55
8,Bolivia,BOLIVIA,Manufacturas de tecnología media,1835895.08,452881.33
8,Bolivia,BOLIVIA,Otras transacciones,59109.44,1904.92
8,Bosnia Y Herzegovina,BOSNIA Y HERZEGOVINA,Bienes primarios,9227.51,1674
8,Brasil,BRASIL,Bienes primarios,2186350.74,11708928.59
8,Brasil,BRASIL,Manufacturas basadas en recursos naturales,25794755.14,58869097.1
8,Brasil,BRASIL,Manufacturas de alta tecnología,991843.1599999999,18820.32
8,Brasil,BRASIL,Manufacturas de baja tecnología,3624668.21,712945.08
8,Brasil,BRASIL,Manufacturas de tecnología media,57679611.589999996,38270636.78
8,Brasil,BRASIL,Otras transacciones,8123.6,88.64
8,Bulgaria,BULGARIA,Bienes primarios,21098.7,5033
8,Bélgica,BELGICA,Bienes primarios,89570227.64,46340052.38
8,Bélgica,BELGICA,Manufacturas basadas en recursos naturales,24822235.73,103762596.99
8,Bélgica,BELGICA,Manufacturas de alta tecnología,289553.38,15740.8
8,Bélgica,BELGICA,Manufacturas de baja tecnología,62475.85,1299.35
