Mes,Departamento,Departamento_join,fob_total,kg_total,Nivel tecnologico,fob_tecnologia,Pais,fob_pais,CIIU,fob_ciiu
7,Bogotá,BOGOTA D.C.,453189300.04,130475747.71,Bienes primarios,175775571.4,Estados Unidos,142727928.6,Trilla de café,102727957.39
7,Bolívar,BOLIVAR,285146186.36,195768547.74,Manufacturas de tecnología media,149075122.75,Brasil,85043574.39,Fabricación de plásticos en formas primarias,68607889.08
7,Boyacá,BOYACA,43161180.94,141217644.98,Manufacturas basadas en recursos naturales,41670671.22,Brasil,28295835.92,Fabricación de productos de hornos de coque,36168482.19
7,Caldas,CALDAS,108606236.42999999,20467592.18,Bienes primarios,81909563.85,Estados Unidos,24061349.439999998,Trilla de café,66517320.99
7,Casanare,CASANARE,63094159.38,137497634,Bienes primarios,63094099.38,Estados Unidos,63094159.38,Extracción de petróleo crudo,63094099.38
7,Cauca,CAUCA,15641017.65,14295707.24,Manufacturas basadas en recursos naturales,7283194.8,Estados Unidos,2892802.89,Elaboración y refinación de azúcar,5690837.89
7,Cesar,CESAR,217540655.19,2619679591,Bienes primarios,217152616,Taiwán,50379306.66,Extracción de hulla (carbón de piedra),212846189.53
7,Chocó,CHOCO,1733189.7699999998,1463617.98,Otras transacciones,1249439.4,Emiratos Árabes Unidos,1249439.4,Industrias básicas de metales preciosos,1249439.4
7,Cundinamarca,CUNDINAMARCA,214026245.2000001,179062482.4,Bienes primarios,105867990.06000009,Estados Unidos,69748709.78000009,Cultivo de flor de corte,68013474.92000009
7,Córdoba,CORDOBA,49069839.88,14784279.379999999,Manufacturas de tecnología media,36367188,China,32471485.46,Industrias básicas de hierro y de acero,36196481.83
7,Guainía,GUAINIA,2553,1188.8,Manufacturas de tecnología media,2553,Jamaica,2553,Fabricación de materiales de arcilla para la construcción,2553
7,Guajira,LA GUAJIRA,132542139.56,1780524278.82,Bienes primarios,130942454.47000001,Turquía,34651027.24,Extracción de hulla (carbón de piedra),130865709.77000001
7,Huila,HUILA,123551727.6,15800896.77,Bienes primarios,123421801.82,Estados Unidos,51253378.92,Trilla de café,117051396.28
7,Magdalena,MAGDALENA,49764361.64,87412655.13,Bienes primarios,48478947.43,Estados Unidos,20570362.16,Cultivo de plátano y banano,46557182.62
7,Meta,META,39980140.300000004,84273121.67,Bienes primarios,39398625.510000005,Estados Unidos,37641803.84,Extracción de petróleo crudo,37447063.63
7,Nariño,NARINO,12527433.79,2598171.41,Bienes primarios,11502875.32,Estados Unidos,6055120.2,Trilla de café,11386098.8
7,Norte de Santander,NORTE DE SANTANDER,60161847.75,313494387.05,Manufacturas basadas en recursos naturales,34745394.22,Brasil,14397687.67,Fabricación de productos de hornos de coque,28718292.38
7,Putumayo,PUTUMAYO,20057557.41,54664890,Bienes primarios,20057557.41,Perú,20057557.41,Extracción de petróleo crudo,20057557.41
