Mes,Departamento,Departamento_join,Nivel tecnologico,fob_total,kg_total
10,Huila,HUILA,Manufacturas basadas en recursos naturales,126309.68,55594.1
10,Huila,HUILA,Manufacturas de baja tecnología,0.08,4
10,Huila,HUILA,Manufacturas de tecnología media,45825,138.88
10,Huila,HUILA,Otras transacciones,105484.35,1
10,Magdalena,MAGDALENA,Bienes primarios,53096652.09,87998462.28999999
10,Magdalena,MAGDALENA,Manufacturas basadas en recursos naturales,821917.8,442861.39
10,Magdalena,MAGDALENA,Manufacturas de baja tecnología,91282,7148
10,Magdalena,MAGDALENA,Manufacturas de tecnología media,587680.53,827629.82
10,Meta,META,Bienes primarios,18605229.91,39778223.95
10,Meta,META,Manufacturas basadas en recursos naturales,516.24,27.49
10,Meta,META,Manufacturas de baja tecnología,7002.72,1779.89
10,Meta,META,Manufacturas de tecnología media,242661.5,474175
10,Nariño,NARINO,Bienes primarios,17717998.04,2945916.77
10,Nariño,NARINO,Manufacturas basadas en recursos naturales,40990.58,42642.369999999995
10,Nariño,NARINO,Manufacturas de alta tecnología,2000,7780
10,Nariño,NARINO,Manufacturas de tecnología media,64848.92,40969.67
