Mes,Departamento,Departamento_join,Nivel tecnologico,fob_total,kg_total
8,Caquetá,CAQUETA,Manufacturas de baja tecnología,27.6,1.2
8,Casanare,CASANARE,Bienes primarios,65678775.27,146538567
8,Casanare,CASANARE,Manufacturas basadas en recursos naturales,8100.91,485
8,Casanare,CASANARE,Manufacturas de baja tecnología,4478,271
8,Cauca,CAUCA,Bienes primarios,3244392.79,669107
8,Cauca,CAUCA,Manufacturas basadas en recursos naturales,10605304.84,14655493.28
8,Cauca,CAUCA,Manufacturas de baja tecnología,710014.22,190879.16
8,Cauca,CAUCA,Manufacturas de tecnología media,4056399.67,2383005.5
8,Cauca,CAUCA,Otras transacciones,780,21.3
8,Cesar,CESAR,Bienes primarios,127089803.52,1526356610
8,Cesar,CESAR,Manufacturas basadas en recursos naturales,145311.97,417870
8,Cesar,CESAR,Manufacturas de baja tecnología,414.4,1.9
8,Cesar,CESAR,Manufacturas de tecnología media,93050,289750
8,Chocó,CHOCO,Bienes primarios,154173.2,302.3
8,Chocó,CHOCO,Manufacturas basadas en recursos naturales,747638.5499999999,1044244.3
8,Chocó,CHOCO,Otras transacciones,1239949.17,13.11
8,Cundinamarca,CUNDINAMARCA,Bienes primarios,98434540.86999992,72857700.99
8,Cundinamarca,CUNDINAMARCA,Manufacturas basadas en recursos naturales,15079569.35,11390097.87
8,Cundinamarca,CUNDINAMARCA,Manufacturas de alta tecnología,13702656.709999999,681042.45
8,Cundinamarca,CUNDINAMARCA,Manufacturas de baja tecnología,17107371.78,4062482.51
8,Cundinamarca,CUNDINAMARCA,Manufacturas de tecnología media,33024669.03,6756230.72
8,Cundinamarca,CUNDINAMARCA,Otras transacciones,497109.22,44402.12
8,Córdoba,CORDOBA,Bienes primarios,11178406.569999998,23267463.29
8,Córdoba,CORDOBA,Manufacturas basadas en recursos naturales,326790.61,351412.9
8,Córdoba,CORDOBA,Manufacturas de baja tecnología,961,128.5
8,Córdoba,CORDOBA,Manufacturas de tecnología media,41070788.21,12563567
8,Guainía,GUAINIA,Manufacturas de baja tecnología,1170,248.5
8,Guajira,LA GUAJIRA,Bienes primarios,417538.64,316056.4
8,Guajira,LA GUAJIRA,Manufacturas basadas en recursos naturales,338121.83,186045.64
8,Guajira,LA GUAJIRA,Manufacturas de alta tecnología,380753,8371
8,Guajira,LA GUAJIRA,Manufacturas de baja tecnología,190248.03,84321.3
8,Guajira,LA GUAJIRA,Manufacturas de tecnología media,2396967.45,1474834.92
8,Guaviare,GUAVIARE,Manufacturas de tecnología media,104.5,13.92
8,Huila,HUILA,Bienes primarios,149098496.79,20059276.46
8,Huila,HUILA,Manufacturas basadas en recursos naturales,54748.8,5020.8
8,Magdalena,MAGDALENA,Bienes primarios,80457233.71,122880397.00999999
8,Magdalena,MAGDALENA,Manufacturas basadas en recursos naturales,744746.0700000001,677319.73
8,Magdalena,MAGDALENA,Manufacturas de alta tecnología,3110.0899999999997,274.57
8,Magdalena,MAGDALENA,Manufacturas de baja tecnología,1346,82
8,Magdalena,MAGDALENA,Manufacturas de tecnología media,122126.45,6200.71
8,Meta,META,Bienes primarios,34860881.269999996,77121121
8,Meta,META,Manufacturas de baja tecnología,18767.85,5555
8,Meta,META,Manufacturas de tecnología media,343456.88,715003.87
8,Nariño,NARINO,Bienes primarios,16086552.4,1908967.1
